                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61446,                0.38123,                0.83707,                 0.9163,                0.84167,                0.90738,                0.68157,                0.94041,                0.53562,                0.99794,             0.00037715,             0.00037715,             0.00037715
                     37,                0.63537,                0.39215,                0.83975,                0.91878,                0.84333,                0.90815,                0.68223,                0.92978,                0.52992,                0.99498,              0.0003708,              0.0003708,              0.0003708
                     38,                0.61746,                0.39707,                0.83875,                0.92127,                   0.83,                0.90857,                0.68916,                0.91171,                0.54193,                  0.996,             0.00036436,             0.00036436,             0.00036436
                     39,                0.62743,                 0.3855,                0.83143,                0.89929,                0.84832,                 0.9103,                0.69125,                0.92386,                0.55309,                 1.0016,             0.00035783,             0.00035783,             0.00035783
                     40,                0.61599,                0.37622,                0.83504,                0.90149,                   0.85,                0.90611,                0.69102,                0.91225,                0.53214,                 1.0051,             0.00035122,             0.00035122,             0.00035122
                     41,                0.62198,                0.38474,                0.83775,                0.91071,                  0.855,                 0.8999,                0.68733,                0.91879,                0.53972,                 1.0051,             0.00034453,             0.00034453,             0.00034453
                     42,                0.61788,                0.38202,                0.84353,                0.91929,                0.84167,                0.89956,                0.69075,                0.91046,                0.53971,                 0.9983,             0.00033777,             0.00033777,             0.00033777
                     43,                0.60729,                0.38407,                0.83354,                 0.9267,                0.84333,                0.90708,                0.70138,                0.90216,                0.53675,                0.99207,             0.00033096,             0.00033096,             0.00033096
                     44,                0.60966,                0.37887,                0.83603,                0.91336,                0.86091,                0.91474,                0.69367,                 0.9109,                 0.5408,                0.99713,             0.00032408,             0.00032408,             0.00032408
                     45,                0.60091,                 0.3672,                0.83691,                0.92407,                0.85184,                0.91067,                0.69711,                0.90667,                0.54078,                0.99586,             0.00031716,             0.00031716,             0.00031716
                     46,                0.61458,                0.38003,                0.83425,                0.92889,                0.84914,                0.90514,                0.68913,                0.91114,                0.54114,                0.99181,              0.0003102,              0.0003102,              0.0003102
                     47,                0.59448,                0.38025,                0.83556,                0.92675,                   0.85,                 0.9047,                0.68987,                0.89414,                0.53275,                0.98325,              0.0003032,              0.0003032,              0.0003032
                     48,                0.59206,                0.37637,                  0.839,                0.92527,                0.84611,                0.90503,                0.69288,                0.91583,                0.54581,                0.98626,             0.00029617,             0.00029617,             0.00029617
                     49,                0.57844,                0.36836,                0.83045,                0.93271,                   0.83,                 0.9042,                0.69158,                0.91227,                0.55401,                0.99066,             0.00028913,             0.00028913,             0.00028913
                     50,                0.57964,                0.36355,                0.82783,                0.93323,                   0.83,                0.90519,                 0.6899,                0.91274,                0.54645,                0.99038,             0.00028207,             0.00028207,             0.00028207
                     51,                0.59352,                0.37166,                0.83239,                0.92743,                 0.8307,                0.90464,                0.68341,                0.90494,                0.52886,                0.97759,               0.000275,               0.000275,               0.000275
                     52,                0.58399,                0.37007,                0.82726,                0.92872,                  0.835,                0.90308,                0.68205,                0.89646,                0.53352,                0.98459,             0.00026793,             0.00026793,             0.00026793
                     53,                0.59316,                0.36797,                0.83874,                0.92369,                0.83333,                0.90181,                0.68303,                0.88248,                0.52251,                0.97687,             0.00026087,             0.00026087,             0.00026087
                     54,                0.57807,                0.36131,                0.82938,                0.91738,                   0.84,                0.90153,                0.68029,                0.90856,                0.53263,                0.98558,             0.00025383,             0.00025383,             0.00025383
                     55,                0.60763,                0.37478,                0.83962,                0.92107,                0.84333,                  0.902,                0.68162,                0.91075,                0.52884,                0.98484,              0.0002468,              0.0002468,              0.0002468
                     56,                0.59564,                0.36847,                0.82864,                0.92597,                0.83383,                0.90532,                0.69063,                0.89915,                0.51782,                0.97693,              0.0002398,              0.0002398,              0.0002398
                     57,                0.57255,                0.36342,                0.83084,                0.92025,                0.82833,                0.90496,                0.68739,                0.91596,                0.53452,                0.98449,             0.00023284,             0.00023284,             0.00023284
                     58,                0.58397,                0.35929,                 0.8302,                0.90286,                0.85197,                0.90397,                0.69792,                0.88487,                0.52301,                0.97346,             0.00022592,             0.00022592,             0.00022592
                     59,                0.58665,                0.36519,                0.82766,                0.92323,                0.84181,                0.90124,                0.69259,                0.89076,                0.53172,                0.97257,             0.00021904,             0.00021904,             0.00021904
                     60,                0.58401,                0.36648,                0.83264,                0.93957,                 0.8292,                0.90309,                0.69273,                0.88937,                0.53413,                 0.9785,             0.00021223,             0.00021223,             0.00021223
                     61,                0.58088,                0.36502,                0.82792,                  0.938,                0.82667,                0.90132,                0.68968,                0.90221,                0.52298,                0.97688,             0.00020547,             0.00020547,             0.00020547
                     62,                0.58041,                 0.3627,                0.82774,                0.92882,                0.84333,                 0.9058,                0.69351,                0.90316,                0.52209,                0.97729,             0.00019878,             0.00019878,             0.00019878
                     63,                0.57967,                0.36712,                0.83531,                0.92694,                0.84581,                0.90495,                0.69262,                0.88396,                0.52196,                0.96827,             0.00019217,             0.00019217,             0.00019217
                     64,                0.57048,                0.35555,                0.82213,                0.93459,                0.83351,                0.90689,                0.69385,                0.90379,                 0.5308,                0.97455,             0.00018564,             0.00018564,             0.00018564
                     65,                0.57382,                0.36196,                0.82707,                0.92561,                0.81833,                0.90383,                0.69427,                0.91767,                0.53586,                0.98603,              0.0001792,              0.0001792,              0.0001792
                     66,                0.57359,                0.36193,                0.82674,                 0.9318,                0.81667,                0.89968,                0.69014,                0.90809,                0.52698,                0.98399,             0.00017285,             0.00017285,             0.00017285
                     67,                0.55681,                0.35893,                 0.8228,                 0.9256,                   0.83,                0.90011,                0.68543,                0.92008,                0.51516,                0.98313,             0.00016661,             0.00016661,             0.00016661
                     68,                 0.5548,                0.35498,                0.82729,                0.92043,                0.83667,                0.90827,                0.69134,                0.91251,                0.52477,                 0.9827,             0.00016047,             0.00016047,             0.00016047
